School_Year,OPT_Code,Is_OPT_Num,OPT_Clean,Name,Affiliation,Site_Type,Street_Address,City,State,Zip,Longitude,Latitude,Door_To_Door_Service,Stop_To_School_Service,Common_Carrier_Svc_Metrocards,Site_Reimbursement,Mid_Day_Service,D2D_Late_Day_Programs,S2S_Late_Day_Programs
2016-2017,20001,TRUE,20001,Shalsheles High School,Yeshiva,School,4622 14th avenue,Brooklyn,NY,11219,-73.988429,40.63526,No,No,Yes,No,Yes,No,No
2016-2017,20002,TRUE,20002,UNITED TALMUDICAL ACAD B.P.,Yeshiva,School,5801 15TH AVENUE,Brooklyn,NY,11219,-73.99296,40.627191,No,No,No,No,No,No,No
2016-2017,20004,TRUE,20004,PS 112 ANNEX,Public,School,7301 15TH AVENUE,Brooklyn,NY,11219,-74.001817,40.61867,No,No,No,No,No,No,No
2016-2017,20005,TRUE,20005,BAIS SHIFRA,Yeshiva,School,1469 45TH STREET,Brooklyn,NY,11219,-73.986127,40.635165,No,No,No,Yes,No,No,No
2016-2017,20006,TRUE,20006,IS 30 ANNEX,Public,School,415 OVINGTON AVENUE,Brooklyn,NY,11209,-74.0232,40.633511,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20007,TRUE,20007,Bais Yaakov Oz VeHodor,Yeshiva,School,54 Avenue O,Brooklyn,NY,11204,-73.983225,40.610211,No,No,No,No,No,No,No
2016-2017,20008,TRUE,20008,TALMUD TORAH TIFERES YECHIEL,Yeshiva,School,3909 15th Avenue,Brooklyn,NY,11218,-73.981914,40.637801,No,No,No,Yes,No,No,No
2016-2017,20030,TRUE,20030,IS 30,Public,School,7002 4th AVENUE,Brooklyn,NY,11209,-74.024043,40.63362,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20048,TRUE,20048,PS 48,Public,School,6015 18TH AVENUE,Brooklyn,NY,11204,-73.987316,40.621823,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20062,TRUE,20062,IS 62,Public,School,700 CORTELYOU ROAD,Brooklyn,NY,11218,-73.971637,40.638608,Yes,Yes,Yes,No,No,No,No
2016-2017,20069,TRUE,20069,PS 69,Public,School,6302 9th AVENUE,Brooklyn,NY,11220,-74.0093,40.632428,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20102,TRUE,20102,BAYVIEW SCHOOL P102,Public,School,211 72ND STREET,Brooklyn,NY,11209,-74.029011,40.634094,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20104,TRUE,20104,PS 104,Public,School,9115 5TH AVENUE,Brooklyn,NY,11209,-74.028758,40.618372,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20105,TRUE,20105,PS 105,Public,School,1031 59TH STREET,Brooklyn,NY,11219,-74.003688,40.633002,No,Yes,Yes,No,Yes,No,No
2016-2017,20112,TRUE,20112,PS 112,Public,School,7115 15TH AVENUE,Brooklyn,NY,11228,-74.000712,40.619732,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20127,TRUE,20127,PS 127,Public,School,7805 7TH AVENUE,Brooklyn,NY,11228,-74.018827,40.623996,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20160,TRUE,20160,PS 160,Public,School,5105 FORT HAMILTON PARKWAY,Brooklyn,NY,11219,-73.999138,40.63727,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20163,TRUE,20163,PS 163,Public,School,109 BAY 14TH STREET,Brooklyn,NY,11214,-74.00797,40.606753,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20164,TRUE,20164,PS 164,Public,School,4211 14TH AVENUE,Brooklyn,NY,11219,-73.985877,40.63744,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20170,TRUE,20170,PS 170,Public,School,7109 6TH AVENUE,Brooklyn,NY,11209,-74.019035,40.630823,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20176,TRUE,20176,PS 176,Public,School,1225 69TH STREET,Brooklyn,NY,11219,-74.005322,40.624674,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20179,TRUE,20179,PS 179,Public,School,202 AVENUE C,Brooklyn,NY,11218,-73.977635,40.640386,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20180,TRUE,20180,PS 180,Public,School,5601 16TH AVENUE,Brooklyn,NY,11204,-73.989591,40.62698,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20185,TRUE,20185,PS 185,Public,School,8601 RIDGE BLVD,Brooklyn,NY,11209,-74.03368,40.623964,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20186,TRUE,20186,PS 186,Public,School,7601 19TH AVENUE,Brooklyn,NY,11214,-73.994595,40.611434,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20187,TRUE,20187,I.S. 187,Public,School,1171 65 STREET,Brooklyn,NY,11219,-74.004425,40.627845,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20192,TRUE,20192,PS 192,Public,School,4715 18TH AVENUE,Brooklyn,NY,11204,-73.979914,40.629256,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20200,TRUE,20200,PS 200,Public,School,1940 BENSON AVENUE,Brooklyn,NY,11214,-74.001469,40.603127,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20201,TRUE,20201,THE DYKER HEIGHTS  -I.S.201,Public,School,8010 12TH AVENUE,Brooklyn,NY,11228,-74.012798,40.618725,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20204,TRUE,20204,PS 204,Public,School,8101 15TH AVENUE,Brooklyn,NY,11228,-74.006559,40.614109,Yes,Yes,Yes,No,Yes,No,No
