School_Year,Busbreakdown_ID,Run_Type,Bus_No,Route_Number,Reason,Schools_Serviced,count,first_opt,second_opt,third_opt,Occurred_On,Created_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Has_Contractor_Notified_Schools,Has_Contractor_Notified_Parents,Have_You_Alerted_OPT,Informed_On,Incident_Number,Last_Updated_On,Breakdown_or_Running_Late,School_Age_or_PreK,_opt_code,OPT_Code,Name,Affiliation,Site_Type,Street_Address,City,State,Zip,Longitude,Latitude,Door_To_Door_Service,Stop_To_School_Service,Common_Carrier_Svc_Metrocards,Site_Reimbursement,Mid_Day_Service,D2D_Late_Day_Programs,S2S_Late_Day_Programs,Busbreakdown_ID:1
2016-2017,1271647,Special Ed AM Run,1360,M986,Heavy Traffic,3279,4,3279,,,10/17/16 7:05,10/17/16 7:06,Bronx,"G.V.C., LTD.",30,0,Yes,Yes,No,10/17/16 7:06,,10/17/16 7:06,Running Late,Pre-K,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1271647
2016-2017,1271454,Special Ed AM Run,1454,M762,Heavy Traffic,3420,4,3420,,,10/17/16 14:30,10/17/16 14:43,Bronx,"BORO TRANSIT, INC.",45,0,Yes,No,No,10/17/16 14:43,,10/17/16 14:43,Running Late,School-Age,3420,3420,P.S. 241,Public,School,240 WEST 113TH STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1271454
2016-2017,1271335,Special Ed AM Run,8012,M497,Heavy Traffic,3279,4,3279,,,10/18/16 7:08,10/18/16 7:08,Brooklyn,L & M BUS CORP (A),20,0,No,Yes,No,10/18/16 7:08,,10/18/16 7:08,Running Late,School-Age,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1271335
2016-2017,1271220,Special Ed AM Run,1488,M987,Heavy Traffic,5175,4,5175,,,10/18/16 7:53,10/18/16 7:54,Queens,"RELIANT TRANS, INC. (B232",20,1,Yes,Yes,Yes,10/18/16 7:54,,10/18/16 7:54,Running Late,School-Age,5175,5175,P.S. 175,Public,School,175 WEST 134 STREET,Manhattan,NY,10030,-73.943151,40.814293,Yes,Yes,Yes,No,Yes,No,No,1271220
2016-2017,1270931,Special Ed AM Run,FR1339,M100,Won`t Start,3864,4,3864,,,10/19/16 7:36,10/19/16 7:39,Bronx,"G.V.C., LTD.",15,11,Yes,Yes,No,10/19/16 7:39,,10/19/16 7:39,Running Late,Pre-K,3864,3864,Future Leaders Institute,Charter,School,134 WEST 122 ST,Manhattan,NY,10027,-73.948056,40.80623,Yes,Yes,Yes,No,Yes,No,No,1270931
2016-2017,1270913,Special Ed AM Run,1488,M987,Heavy Traffic,5175,4,5175,,,10/19/16 19:45,10/19/16 7:47,Bronx,"DON THOMAS BUSES, INC.",10,11,Yes,Yes,No,10/19/16 7:47,,10/19/16 7:47,Running Late,Pre-K,5175,5175,P.S. 175,Public,School,175 WEST 134 STREET,Manhattan,NY,10030,-73.943151,40.814293,Yes,Yes,Yes,No,Yes,No,No,1270913
2016-2017,1270688,Special Ed AM Run,1495,M749,Heavy Traffic,5046,4,5046,,,10/20/16 6:55,10/20/16 6:58,Brooklyn,B & F SKILLED INC.(B2192),15,2,Yes,Yes,Yes,10/20/16 6:58,90179986,10/20/16 9:02,Running Late,School-Age,5046,5046,P.S. 46,Public,School,2987 8TH AVENUE,Manhattan,NY,10039,-73.93629,40.830671,Yes,Yes,Yes,No,Yes,No,No,1270688
2016-2017,1270459,Special Ed AM Run,19252,M011,Other,3864,4,3864,,,10/20/16 14:47,10/20/16 14:48,Manhattan,"RELIANT TRANS, INC. (B232",20,0,Yes,Yes,Yes,10/20/16 14:48,,10/20/16 14:48,Running Late,School-Age,3864,3864,Future Leaders Institute,Charter,School,134 WEST 122 ST,Manhattan,NY,10027,-73.948056,40.80623,Yes,Yes,Yes,No,Yes,No,No,1270459
2016-2017,1270207,Special Ed AM Run,1339,M100,Flat Tire,3864,4,3864,,,10/21/16 8:00,10/21/16 8:15,Queens,PIONEER TRANSPORTATION CO,10,0,Yes,No,No,10/21/16 8:15,,10/21/16 8:15,Running Late,School-Age,3864,3864,Future Leaders Institute,Charter,School,134 WEST 122 ST,Manhattan,NY,10027,-73.948056,40.80623,Yes,Yes,Yes,No,Yes,No,No,1270207
2016-2017,1270201,Special Ed AM Run,1445,M862,Heavy Traffic,3076,4,3076,,,10/21/16 8:20,10/21/16 8:21,Manhattan,G.V.C. LTD. (B2192),20,2,No,Yes,No,10/21/16 8:21,,10/21/16 8:21,Running Late,School-Age,3076,3076,P.S./M.S. 76,Public,School,220 WEST 121ST STREET,Manhattan,NY,10027,-73.951103,40.806696,Yes,Yes,Yes,No,No,No,No,1270201
2016-2017,1270137,General Ed AM Run,6108,M8001,Heavy Traffic,3149,4,3149,,,10/21/16 14:15,10/21/16 14:16,Brooklyn,HAPPY CHILD TRANS LLC (B2,25,0,Yes,Yes,No,10/21/16 14:16,,10/21/16 14:16,Running Late,School-Age,3149,3149,P.S./M.S. 149 Sojourner Truth School,Public,School,41 WEST 117TH STREET,Manhattan,NY,10026,-73.947773,40.802201,Yes,Yes,Yes,No,Yes,No,No,1270137
2016-2017,1269982,Special Ed PM Run,1428,M706,Heavy Traffic,3279,4,3279,,,10/24/16 6:59,10/24/16 6:59,Manhattan,L & M BUS CORP. (B2321),30,0,Yes,Yes,No,10/24/16 6:59,,10/24/16 8:34,Running Late,School-Age,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1269982
2016-2017,1269849,Special Ed AM Run,2207,M267,Heavy Traffic,3208,4,3208,,,10/24/16 7:53,10/24/16 7:53,Manhattan,"RELIANT TRANS, INC. (B232",20,2,Yes,Yes,Yes,10/24/16 7:53,,10/24/16 7:53,Running Late,School-Age,3208,3208,P.S. 208,Public,School,21 WEST 111TH STREET,Manhattan,NY,10026,-73.949646,40.797932,Yes,Yes,Yes,No,Yes,No,No,1269849
2016-2017,1269653,Special Ed PM Run,1383,M986,Heavy Traffic,3279,4,3279,,,10/25/16 6:45,10/25/16 6:52,Queens,QUALITY TRANSPORTATION CO,15,0,Yes,No,No,10/25/16 6:52,,10/25/16 6:52,Running Late,School-Age,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1269653
2016-2017,1269628,Special Ed PM Run,19252,M011,Heavy Traffic,3864,4,3864,,,10/25/16 6:59,10/25/16 7:01,Manhattan,HAPPY CHILD TRANS LLC (B2,120,0,Yes,Yes,No,10/25/16 7:01,,10/25/16 7:01,Running Late,School-Age,3864,3864,Future Leaders Institute,Charter,School,134 WEST 122 ST,Manhattan,NY,10027,-73.948056,40.80623,Yes,Yes,Yes,No,Yes,No,No,1269628
2016-2017,1269433,Special Ed AM Run,2514,M267,Other,3208,4,3208,,,10/25/16 10:03,10/25/16 10:23,Staten Island,JOFAZ TRANSPORTATION INC.,,30,No,No,No,10/25/16 10:23,,10/25/16 10:23,Breakdown,School-Age,3208,3208,P.S. 208,Public,School,21 WEST 111TH STREET,Manhattan,NY,10026,-73.949646,40.797932,Yes,Yes,Yes,No,Yes,No,No,1269433
2016-2017,1269303,Special Ed AM Run,2515,M267,Heavy Traffic,3208,4,3208,,,10/26/16 6:40,10/26/16 6:50,Queens,QUALITY TRANSPORTATION CO,20,0,Yes,No,No,10/26/16 6:50,,10/26/16 6:50,Running Late,School-Age,3208,3208,P.S. 208,Public,School,21 WEST 111TH STREET,Manhattan,NY,10026,-73.949646,40.797932,Yes,Yes,Yes,No,Yes,No,No,1269303
2016-2017,1269015,Special Ed AM Run,2207,M267,Heavy Traffic,3208,4,3208,,,10/26/16 13:56,10/26/16 14:00,Brooklyn,"NEW DAWN TRANSIT, LLC (B2",60,0,Yes,Yes,No,10/26/16 14:00,,10/26/16 14:00,Running Late,School-Age,3208,3208,P.S. 208,Public,School,21 WEST 111TH STREET,Manhattan,NY,10026,-73.949646,40.797932,Yes,Yes,Yes,No,Yes,No,No,1269015
2016-2017,1269002,Special Ed PM Run,9925,M267,Mechanical Problem,3208,4,3208,,,10/26/16 2:10,10/26/16 14:18,Brooklyn,JOFAZ TRANSPORTATION INC.,60,0,Yes,Yes,No,10/26/16 14:18,,10/26/16 14:18,Running Late,School-Age,3208,3208,P.S. 208,Public,School,21 WEST 111TH STREET,Manhattan,NY,10026,-73.949646,40.797932,Yes,Yes,Yes,No,Yes,No,No,1269002
2016-2017,1268774,Special Ed AM Run,2518,M267,Other,3208,4,3208,,,10/27/16 7:33,10/27/16 7:35,Bronx,"G.V.C., LTD.",30,1,Yes,Yes,No,10/27/16 7:35,,10/27/16 7:35,Running Late,Pre-K,3208,3208,P.S. 208,Public,School,21 WEST 111TH STREET,Manhattan,NY,10026,-73.949646,40.797932,Yes,Yes,Yes,No,Yes,No,No,1268774
2016-2017,1268721,Special Ed AM Run,1330,M707,Heavy Traffic,3279,4,3279,,,10/27/16 7:52,10/27/16 7:54,Brooklyn,"NEW DAWN TRANSIT, LLC (B2",45,7,Yes,Yes,No,10/27/16 7:54,,10/27/16 7:54,Running Late,School-Age,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1268721
2016-2017,1268437,Special Ed AM Run,56089,M469,Mechanical Problem,3469,4,3469,,,10/28/16 7:15,10/28/16 7:23,Bronx,"G.V.C., LTD.",30,3,Yes,Yes,No,10/28/16 7:23,,10/28/16 7:23,Running Late,Pre-K,3469,3469,Frederick Douglass Academy II,Public,School,215 WEST 114TH STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,Yes,No,No,1268437
2016-2017,1268327,Special Ed AM Run,21280,M732,Heavy Traffic,3149,4,3149,,,10/28/16 8:00,10/28/16 8:03,Bronx,"G.V.C., LTD.",,5,Yes,Yes,No,10/28/16 8:03,,10/28/16 8:03,Running Late,Pre-K,3149,3149,P.S./M.S. 149 Sojourner Truth School,Public,School,41 WEST 117TH STREET,Manhattan,NY,10026,-73.947773,40.802201,Yes,Yes,Yes,No,Yes,No,No,1268327
2016-2017,1267977,Special Ed AM Run,2564,M267,Mechanical Problem,3208,4,3208,,,10/31/16 7:37,10/31/16 7:39,Queens,LOGAN BUS COMPANY INC.,30,0,Yes,Yes,No,10/31/16 7:39,,10/31/16 7:39,Running Late,School-Age,3208,3208,P.S. 208,Public,School,21 WEST 111TH STREET,Manhattan,NY,10026,-73.949646,40.797932,Yes,Yes,Yes,No,Yes,No,No,1267977
2016-2017,1267632,Special Ed PM Run,56089,M469,Mechanical Problem,3469,4,3469,,,11/1/16 6:53,11/1/16 7:03,Manhattan,LEESEL TRANSP CORP (B2192,30,1,Yes,Yes,Yes,11/1/16 7:03,,11/1/16 7:03,Running Late,School-Age,3469,3469,Frederick Douglass Academy II,Public,School,215 WEST 114TH STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,Yes,No,No,1267632
2016-2017,1267041,General Ed AM Run,10326,M8026,Other,5200,4,5200,,,11/2/16 7:25,11/2/16 7:54,Queens,"BORO TRANSIT, INC.",50,0,Yes,No,No,11/2/16 7:54,,11/2/16 8:14,Running Late,School-Age,5200,5200,P.S. 200,Public,School,2589 7TH AVENUE,Manhattan,NY,10039,-73.936804,40.824408,Yes,Yes,Yes,No,Yes,No,No,1267041
2016-2017,1266969,Special Ed AM Run,1422,M885,Heavy Traffic,3279,4,3279,,,11/2/16 8:17,11/2/16 8:18,Manhattan,"RELIANT TRANS, INC. (B232",15,10,Yes,Yes,Yes,11/2/16 8:18,,11/2/16 8:18,Running Late,School-Age,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1266969
2016-2017,1266896,Special Ed PM Run,1400,M442,Mechanical Problem,3076,4,3076,,,11/2/16 15:08,11/2/16 15:10,Queens,"RELIANT TRANS, INC. (B232",25,0,Yes,Yes,Yes,11/2/16 15:10,,11/2/16 15:10,Running Late,School-Age,3076,3076,P.S./M.S. 76,Public,School,220 WEST 121ST STREET,Manhattan,NY,10027,-73.951103,40.806696,Yes,Yes,Yes,No,No,No,No,1266896
2016-2017,1266895,General Ed PM Run,24528,M9166,Heavy Traffic,3422,4,3422,,,11/2/16 15:12,11/2/16 15:15,Bronx,PIONEER TRANSPORTATION CO,15,4,Yes,No,Yes,11/2/16 15:15,90193965,11/2/16 15:15,Running Late,School-Age,3422,3422,Sisulu-Walker Charter,Charter,School,125 WEST 115 STREET,Manhattan,NY,10026,-73.950944,40.801754,No,Yes,Yes,No,No,No,No,1266895
2016-2017,1265702,General Ed AM Run,27693,M1328,Mechanical Problem,3149,4,3149,,,11/9/16 6:45,11/9/16 6:55,Brooklyn,JOFAZ TRANSPORTATION INC.,,0,Yes,Yes,No,11/9/16 6:55,,11/9/16 6:55,Breakdown,School-Age,3149,3149,P.S./M.S. 149 Sojourner Truth School,Public,School,41 WEST 117TH STREET,Manhattan,NY,10026,-73.947773,40.802201,Yes,Yes,Yes,No,Yes,No,No,1265702
2016-2017,1264756,General Ed AM Run,25601,M1221,Mechanical Problem,3864,4,3864,,,11/14/16 8:10,11/14/16 8:13,Bronx,"DON THOMAS BUSES, INC.",10,17,Yes,Yes,No,11/14/16 8:13,,11/14/16 8:13,Running Late,Pre-K,3864,3864,Future Leaders Institute,Charter,School,134 WEST 122 ST,Manhattan,NY,10027,-73.948056,40.80623,Yes,Yes,Yes,No,Yes,No,No,1264756
2016-2017,1264667,Special Ed AM Run,TNO433,M314,Other,3185,4,3185,,,11/14/16 17:15,11/14/16 17:23,Manhattan,CONSOLIDATED BUS TRANS. I,45,1,Yes,Yes,Yes,11/14/16 17:23,,11/14/16 17:23,Running Late,School-Age,3185,3185,P.S. 185,Public,School,20 WEST 112TH STREET,Manhattan,NY,10026,-73.948701,40.798192,Yes,Yes,Yes,No,Yes,No,No,1264667
2016-2017,1264354,Special Ed AM Run,1452,M383,Heavy Traffic,5621,4,5621,,,11/15/16 7:43,11/15/16 7:45,Staten Island,PIONEER TRANSPORTATION CO,15,0,Yes,No,No,11/15/16 7:45,,11/15/16 7:45,Running Late,School-Age,5621,5621,Democracy Prep Harlem Charter School,Charter,School,207 WEST 133TH STREET,Manhattan,NY,10030,-73.945199,40.814338,Yes,Yes,Yes,No,No,No,No,1264354
2016-2017,1264328,Special Ed AM Run,16375,M011,Heavy Traffic,3864,4,3864,,,11/15/16 7:47,11/15/16 7:49,Manhattan,"RELIANT TRANS, INC. (B232",15,3,Yes,Yes,Yes,11/15/16 7:49,,11/15/16 7:50,Running Late,School-Age,3864,3864,Future Leaders Institute,Charter,School,134 WEST 122 ST,Manhattan,NY,10027,-73.948056,40.80623,Yes,Yes,Yes,No,Yes,No,No,1264328
2016-2017,1263318,Special Ed PM Run,8013,M497,Flat Tire,3279,4,3279,,,11/18/16 6:35,11/18/16 6:37,Manhattan,"RELIANT TRANS, INC. (B232",15,0,Yes,Yes,Yes,11/18/16 6:37,,11/18/16 6:37,Running Late,School-Age,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1263318
2016-2017,1263113,Special Ed AM Run,1383,M986,Heavy Traffic,3279,4,3279,,,11/18/16 7:45,11/18/16 7:56,Bronx,"DON THOMAS BUSES, INC. (B",30,3,Yes,Yes,Yes,11/18/16 7:56,,11/18/16 7:56,Running Late,School-Age,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1263113
2016-2017,1262712,Special Ed AM Run,19252,M011,Heavy Traffic,3864,4,3864,,,11/21/16 7:58,11/21/16 8:01,Manhattan,FIRST STEPS TRANSP INC. (,15,6,Yes,Yes,Yes,11/21/16 8:01,,11/21/16 8:31,Running Late,School-Age,3864,3864,Future Leaders Institute,Charter,School,134 WEST 122 ST,Manhattan,NY,10027,-73.948056,40.80623,Yes,Yes,Yes,No,Yes,No,No,1262712
2016-2017,1262260,Special Ed AM Run,2564,M267,Won`t Start,3208,4,3208,,,11/22/16 14:25,11/22/16 14:26,Manhattan,SNT BUS INC,,0,Yes,No,Yes,11/22/16 14:26,,11/22/16 14:38,Breakdown,School-Age,3208,3208,P.S. 208,Public,School,21 WEST 111TH STREET,Manhattan,NY,10026,-73.949646,40.797932,Yes,Yes,Yes,No,Yes,No,No,1262260
2016-2017,1261851,Special Ed AM Run,1395,M749,Heavy Traffic,5046,4,5046,,,11/28/16 6:20,11/28/16 6:30,Brooklyn,"NEW DAWN TRANSIT, LLC (B2",15,0,Yes,Yes,No,11/28/16 6:30,,11/28/16 6:30,Running Late,School-Age,5046,5046,P.S. 46,Public,School,2987 8TH AVENUE,Manhattan,NY,10039,-73.93629,40.830671,Yes,Yes,Yes,No,Yes,No,No,1261851
2016-2017,1261312,Special Ed AM Run,1339,M100,Mechanical Problem,3864,4,3864,,,11/29/16 7:18,11/29/16 7:20,All Boroughs,VAN TRANS LLC (B2192),30,1,Yes,Yes,Yes,11/29/16 7:20,,11/29/16 7:20,Running Late,School-Age,3864,3864,Future Leaders Institute,Charter,School,134 WEST 122 ST,Manhattan,NY,10027,-73.948056,40.80623,Yes,Yes,Yes,No,Yes,No,No,1261312
2016-2017,1261110,Special Ed AM Run,2564,M267,Heavy Traffic,3208,4,3208,,,11/29/16 8:01,11/29/16 8:05,Bronx,"G.V.C., LTD.",15,1,Yes,Yes,No,11/29/16 8:05,,11/29/16 8:05,Running Late,Pre-K,3208,3208,P.S. 208,Public,School,21 WEST 111TH STREET,Manhattan,NY,10026,-73.949646,40.797932,Yes,Yes,Yes,No,Yes,No,No,1261110
2016-2017,1260997,General Ed Field Trip,11336,M8022,Accident,5154,4,5154,,,11/29/16 14:13,11/29/16 14:14,Queens,"RELIANT TRANS, INC. (B232",30,0,Yes,Yes,Yes,11/29/16 14:14,,11/29/16 14:14,Running Late,School-Age,5154,5154,P.S. 154,Public,School,250 WEST 127TH STREET,Manhattan,NY,10027,-73.948893,40.810822,Yes,Yes,Yes,No,Yes,No,No,1260997
2016-2017,1260792,General Ed AM Run,24521,M1157,Mechanical Problem,3329,4,3329,,,11/30/16 7:19,11/30/16 7:20,Bronx,"G.V.C., LTD.",30,4,Yes,Yes,No,11/30/16 7:20,,11/30/16 7:20,Running Late,Pre-K,3329,3329,Harlem Link Charter School,Charter,School,20 WEST 112 STREET,Manhattan,NY,10026,-73.948701,40.798192,Yes,Yes,Yes,No,Yes,No,No,1260792
2016-2017,1260756,Special Ed AM Run,2564,M267,Heavy Traffic,3208,4,3208,,,11/30/16 7:25,11/30/16 7:31,Manhattan,LEESEL TRANSP CORP (B2192,20,4,Yes,Yes,Yes,11/30/16 7:31,,11/30/16 7:31,Running Late,School-Age,3208,3208,P.S. 208,Public,School,21 WEST 111TH STREET,Manhattan,NY,10026,-73.949646,40.797932,Yes,Yes,Yes,No,Yes,No,No,1260756
2016-2017,1259702,General Ed AM Run,25581,M1157,Other,3329,4,3329,,,12/2/16 13:36,12/2/16 13:50,Rockland County,"DON THOMAS BUSES, INC. (B",30,0,Yes,Yes,Yes,12/2/16 13:50,,12/2/16 13:50,Running Late,School-Age,3329,3329,Harlem Link Charter School,Charter,School,20 WEST 112 STREET,Manhattan,NY,10026,-73.948701,40.798192,Yes,Yes,Yes,No,Yes,No,No,1259702
2016-2017,1259550,Special Ed AM Run,4512,M860,Won`t Start,3329,4,3329,,,12/5/16 6:15,12/5/16 6:34,Brooklyn,"BORO TRANSIT, INC.",20,0,Yes,No,No,12/5/16 6:34,,12/5/16 6:34,Running Late,School-Age,3329,3329,Harlem Link Charter School,Charter,School,20 WEST 112 STREET,Manhattan,NY,10026,-73.948701,40.798192,Yes,Yes,Yes,No,Yes,No,No,1259550
2016-2017,1259540,Special Ed PM Run,19252,M011,Other,3864,4,3864,,,12/5/16 6:35,12/5/16 6:37,Staten Island,PIONEER TRANSPORTATION CO,60,0,Yes,No,No,12/5/16 6:37,,12/5/16 6:37,Running Late,School-Age,3864,3864,Future Leaders Institute,Charter,School,134 WEST 122 ST,Manhattan,NY,10027,-73.948056,40.80623,Yes,Yes,Yes,No,Yes,No,No,1259540
2016-2017,1258546,Special Ed AM Run,2564,M267,Other,3208,4,3208,,,12/6/16 16:47,12/6/16 16:49,Bronx,PIONEER TRANSPORTATION CO,15,0,Yes,No,No,12/6/16 16:49,,12/6/16 16:49,Running Late,School-Age,3208,3208,P.S. 208,Public,School,21 WEST 111TH STREET,Manhattan,NY,10026,-73.949646,40.797932,Yes,Yes,Yes,No,Yes,No,No,1258546
2016-2017,1258430,Special Ed AM Run,1396,M741,Heavy Traffic,3076,4,3076,,,12/7/16 7:08,12/7/16 7:10,Bronx,B & F SKILLED INC.(B2192),10,4,Yes,Yes,Yes,12/7/16 7:10,80218802,12/7/16 8:24,Running Late,School-Age,3076,3076,P.S./M.S. 76,Public,School,220 WEST 121ST STREET,Manhattan,NY,10027,-73.951103,40.806696,Yes,Yes,Yes,No,No,No,No,1258430
2016-2017,1258401,Special Ed AM Run,1303,M750,Heavy Traffic,5046,4,5046,,,12/7/16 7:18,12/7/16 7:19,Queens,LITTLE RICHIE BUS SERVICE,30,0,Yes,Yes,No,12/7/16 7:19,,12/7/16 7:19,Running Late,School-Age,5046,5046,P.S. 46,Public,School,2987 8TH AVENUE,Manhattan,NY,10039,-73.93629,40.830671,Yes,Yes,Yes,No,Yes,No,No,1258401
2016-2017,1258187,Special Ed AM Run,2564,M267,Weather Conditions,3208,4,3208,,,12/7/16 14:10,12/7/16 14:07,Brooklyn,"BORO TRANSIT, INC.",15,0,Yes,No,No,12/7/16 14:07,,12/7/16 14:07,Running Late,School-Age,3208,3208,P.S. 208,Public,School,21 WEST 111TH STREET,Manhattan,NY,10026,-73.949646,40.797932,Yes,Yes,Yes,No,Yes,No,No,1258187
2016-2017,1257968,Special Ed AM Run,2564,M267,Mechanical Problem,3208,4,3208,,,12/8/16 7:19,12/8/16 7:25,Bronx,VAN TRANS LLC (B2192),20,6,Yes,Yes,Yes,12/8/16 7:25,,12/8/16 7:25,Running Late,School-Age,3208,3208,P.S. 208,Public,School,21 WEST 111TH STREET,Manhattan,NY,10026,-73.949646,40.797932,Yes,Yes,Yes,No,Yes,No,No,1257968
2016-2017,1257574,Special Ed AM Run,1488,M987,Heavy Traffic,5175,4,5175,,,12/9/16 7:36,12/9/16 7:38,Bronx,"G.V.C., LTD.",30,10,Yes,Yes,No,12/9/16 7:38,,12/9/16 7:38,Running Late,Pre-K,5175,5175,P.S. 175,Public,School,175 WEST 134 STREET,Manhattan,NY,10030,-73.943151,40.814293,Yes,Yes,Yes,No,Yes,No,No,1257574
2016-2017,1257401,Special Ed AM Run,2564,M267,Heavy Traffic,3208,4,3208,,,12/9/16 14:53,12/9/16 14:55,Bronx,PIONEER TRANSPORTATION CO,15,0,Yes,No,No,12/9/16 14:55,,12/9/16 14:55,Running Late,School-Age,3208,3208,P.S. 208,Public,School,21 WEST 111TH STREET,Manhattan,NY,10026,-73.949646,40.797932,Yes,Yes,Yes,No,Yes,No,No,1257401
2016-2017,1257170,Special Ed AM Run,1303,M750,Heavy Traffic,5046,4,5046,,,12/12/16 7:00,12/12/16 7:12,Manhattan,LEESEL TRANSP CORP (B2192,45,1,Yes,Yes,Yes,12/12/16 7:12,,12/12/16 7:12,Running Late,School-Age,5046,5046,P.S. 46,Public,School,2987 8TH AVENUE,Manhattan,NY,10039,-73.93629,40.830671,Yes,Yes,Yes,No,Yes,No,No,1257170
2016-2017,1257057,General Ed AM Run,10267,M8026,Other,5200,4,5200,,,12/12/16 7:35,12/12/16 7:37,Brooklyn,"NEW DAWN TRANSIT, LLC (B2",30,0,Yes,Yes,No,12/12/16 7:37,,12/12/16 7:37,Running Late,School-Age,5200,5200,P.S. 200,Public,School,2589 7TH AVENUE,Manhattan,NY,10039,-73.936804,40.824408,Yes,Yes,Yes,No,Yes,No,No,1257057
2016-2017,1257041,Special Ed AM Run,2564,M267,Weather Conditions,3208,4,3208,,,12/12/16 7:38,12/12/16 7:39,Bronx,VAN TRANS LLC (B2192),20,10,Yes,Yes,Yes,12/12/16 7:39,,12/12/16 7:40,Running Late,School-Age,3208,3208,P.S. 208,Public,School,21 WEST 111TH STREET,Manhattan,NY,10026,-73.949646,40.797932,Yes,Yes,Yes,No,Yes,No,No,1257041
2016-2017,1256998,General Ed PM Run,6106,M9811,Heavy Traffic,3076,4,3076,,,12/12/16 7:46,12/12/16 7:45,Westchester,MAR-CAN TRANSPORT CO. INC,60,2,No,No,No,12/12/16 7:45,,12/12/16 7:45,Running Late,School-Age,3076,3076,P.S./M.S. 76,Public,School,220 WEST 121ST STREET,Manhattan,NY,10027,-73.951103,40.806696,Yes,Yes,Yes,No,No,No,No,1256998
2016-2017,1256822,Special Ed AM Run,2564,M267,Heavy Traffic,3208,4,3208,,,12/12/16 8:20,12/12/16 8:39,,"DON THOMAS BUSES, INC. (B",15,5,Yes,Yes,Yes,12/12/16 8:39,,12/12/16 8:39,Running Late,School-Age,3208,3208,P.S. 208,Public,School,21 WEST 111TH STREET,Manhattan,NY,10026,-73.949646,40.797932,Yes,Yes,Yes,No,Yes,No,No,1256822
2016-2017,1256629,General Ed AM Run,6106,M8011,Heavy Traffic,3076,4,3076,,,12/13/16 6:47,12/13/16 6:51,All Boroughs,VAN TRANS LLC (B2192),30,1,Yes,Yes,Yes,12/13/16 6:51,,12/13/16 6:51,Running Late,School-Age,3076,3076,P.S./M.S. 76,Public,School,220 WEST 121ST STREET,Manhattan,NY,10027,-73.951103,40.806696,Yes,Yes,Yes,No,No,No,No,1256629
2016-2017,1256576,Special Ed AM Run,1303,M750,Heavy Traffic,5046,4,5046,,,12/13/16 7:12,12/13/16 7:14,Staten Island,B & F SKILLED INC.(B2192),15,1,Yes,Yes,Yes,12/13/16 7:14,90222995,12/13/16 9:12,Running Late,School-Age,5046,5046,P.S. 46,Public,School,2987 8TH AVENUE,Manhattan,NY,10039,-73.93629,40.830671,Yes,Yes,Yes,No,Yes,No,No,1256576
2016-2017,1256509,Special Ed AM Run,2019,M860,Mechanical Problem,3329,4,3329,,,12/13/16 7:34,12/13/16 7:35,Manhattan,LEESEL TRANSP CORP (B2192,15,5,Yes,Yes,No,12/13/16 7:35,,12/13/16 7:35,Running Late,School-Age,3329,3329,Harlem Link Charter School,Charter,School,20 WEST 112 STREET,Manhattan,NY,10026,-73.948701,40.798192,Yes,Yes,Yes,No,Yes,No,No,1256509
2016-2017,1256280,Special Ed AM Run,1455,M750,Heavy Traffic,5046,4,5046,,,12/14/16 6:05,12/14/16 6:06,Staten Island,PIONEER TRANSPORTATION CO,10,0,Yes,No,No,12/14/16 6:06,,12/14/16 6:06,Running Late,School-Age,5046,5046,P.S. 46,Public,School,2987 8TH AVENUE,Manhattan,NY,10039,-73.93629,40.830671,Yes,Yes,Yes,No,Yes,No,No,1256280
