School_Year,Busbreakdown_ID,Run_Type,Bus_No,Route_Number,Reason,Schools_Serviced,count,first_opt,second_opt,third_opt,Occurred_On,Created_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Has_Contractor_Notified_Schools,Has_Contractor_Notified_Parents,Have_You_Alerted_OPT,Informed_On,Incident_Number,Last_Updated_On,Breakdown_or_Running_Late,School_Age_or_PreK,_opt_code,OPT_Code,Name,Affiliation,Site_Type,Street_Address,City,State,Zip,Longitude,Latitude,Door_To_Door_Service,Stop_To_School_Service,Common_Carrier_Svc_Metrocards,Site_Reimbursement,Mid_Day_Service,D2D_Late_Day_Programs,S2S_Late_Day_Programs,Busbreakdown_ID:1
2016-2017,1299711,General Ed AM Run,25593,M1205,Mechanical Problem,3329,4,3329,,,4/22/16 7:02,4/22/16 7:36,Bronx,"GRANDPA`S BUS CO., INC.",15,0,Yes,Yes,No,4/22/16 7:36,,4/22/16 7:36,Running Late,School-Age,3329,3329,Harlem Link Charter School,Charter,School,20 WEST 112 STREET,Manhattan,NY,10026,-73.948701,40.798192,Yes,Yes,Yes,No,Yes,No,No,1299711
2016-2017,1299330,General Ed AM Run,26639,M1108,Mechanical Problem,3749,4,3749,,,5/2/16 7:14,5/2/16 7:16,Queens,LORINDA ENT. LTD.,40,0,Yes,Yes,No,5/2/16 7:16,,5/2/16 7:16,Running Late,School-Age,3749,3749,New York French American Charter,Charter,School,311 WEST 120TH STREET,Manhattan,NY,10027,-73.954083,40.807325,Yes,Yes,Yes,No,Yes,No,No,1299330
2016-2017,1299229,General Ed PM Run,24528,M9166,Late return from Field Trip,3422,4,3422,,,5/2/16 7:40,5/2/16 7:47,Bronx,"G.V.C., LTD.",20,5,Yes,Yes,No,5/2/16 7:47,,5/2/16 7:47,Running Late,Pre-K,3422,3422,Sisulu-Walker Charter,Charter,School,125 WEST 115 STREET,Manhattan,NY,10026,-73.950944,40.801754,No,Yes,Yes,No,No,No,No,1299229
2016-2017,1299173,Special Ed AM Run,2438,M620,Heavy Traffic,3325,4,3325,,,5/2/16 7:59,5/2/16 8:01,Brooklyn,"THOMAS BUSES, INC.",20,4,Yes,Yes,Yes,5/2/16 8:01,,5/2/16 12:15,Running Late,Pre-K,3325,3325,Wadleigh High School for the Visual and Performing Arts,Public,School,215 WEST 114 STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,No,No,No,1299173
2016-2017,1299123,Special Ed AM Run,56105,M393,Heavy Traffic,5197,4,5197,,,5/2/16 13:09,5/2/16 13:15,Brooklyn,JOFAZ TRANSPORTATION INC.,30,0,Yes,No,No,5/2/16 13:15,,5/2/16 13:15,Running Late,School-Age,5197,5197,P.S. 197,Public,School,2230 5TH AVENUE,Manhattan,NY,10037,-73.937414,40.813226,Yes,Yes,Yes,No,Yes,No,No,1299123
2016-2017,1299027,Special Ed AM Run,4523,M635,Heavy Traffic,3279,4,3279,,,5/3/16 6:35,5/3/16 6:40,Queens,"GRANDPA`S BUS CO., INC.",,0,Yes,No,No,5/3/16 6:40,,5/3/16 6:40,Breakdown,School-Age,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1299027
2016-2017,1298567,General Ed AM Run,6151,M8204,Mechanical Problem,5154,4,5154,,,5/3/16 14:46,5/3/16 14:59,Queens,LITTLE RICHIE BUS SERVICE,,0,Yes,Yes,No,5/3/16 14:59,,5/3/16 14:59,Breakdown,School-Age,5154,5154,P.S. 154,Public,School,250 WEST 127TH STREET,Manhattan,NY,10027,-73.948893,40.810822,Yes,Yes,Yes,No,Yes,No,No,1298567
2016-2017,1298559,General Ed AM Run,6107,M8145,Mechanical Problem,3384,4,3384,,,5/3/16 15:15,5/3/16 15:29,Queens,LORINDA ENT. LTD.,,0,Yes,Yes,No,5/3/16 15:29,,5/3/16 15:29,Breakdown,School-Age,3384,3384,Success Academy Harlem 4,Charter,School,240 WEST 113TH STREET,Manhattan,NY,10026,-73.955251,40.801746,No,Yes,Yes,No,Yes,No,No,1298559
2016-2017,1298465,Special Ed AM Run,2508,M629,Flat Tire,3279,4,3279,,,5/4/16 7:00,5/4/16 7:16,Queens,I & Y TRANSIT CORP,60,16,Yes,Yes,Yes,5/4/16 7:16,,5/4/16 11:59,Running Late,Pre-K,3279,3279,Opportunity Charter,Charter,School,240 WEST 113 STREET,Manhattan,NY,10026,-73.955251,40.801746,Yes,Yes,Yes,No,No,No,No,1298465
2016-2017,1298073,General Ed PM Run,26632,M9107,Mechanical Problem,3329,4,3329,,,5/5/16 7:54,5/5/16 7:55,Bronx,"RELIANT TRANS, INC. (B232",20,4,Yes,Yes,Yes,5/5/16 7:55,,5/5/16 7:55,Running Late,School-Age,3329,3329,Harlem Link Charter School,Charter,School,20 WEST 112 STREET,Manhattan,NY,10026,-73.948701,40.798192,Yes,Yes,Yes,No,Yes,No,No,1298073
2016-2017,1298037,Special Ed PM Run,TN0415,M307,Flat Tire,5046,4,5046,,,5/5/16 9:45,5/5/16 9:55,Brooklyn,JOFAZ TRANSPORTATION INC.,,0,Yes,No,No,5/5/16 9:55,,5/5/16 9:55,Breakdown,School-Age,5046,5046,P.S. 46,Public,School,2987 8TH AVENUE,Manhattan,NY,10039,-73.93629,40.830671,Yes,Yes,Yes,No,Yes,No,No,1298037
2016-2017,1297715,Special Ed PM Run,2617,M620,Heavy Traffic,3325,4,3325,,,5/6/16 7:57,5/6/16 7:59,Queens,"RELIANT TRANS, INC. (B232",15,5,Yes,Yes,Yes,5/6/16 7:59,,5/6/16 7:59,Running Late,School-Age,3325,3325,Wadleigh High School for the Visual and Performing Arts,Public,School,215 WEST 114 STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,No,No,No,1297715
2016-2017,1297238,Special Ed AM Run,1710,M442,Problem Run,3149,4,3149,,,5/9/16 14:05,5/9/16 14:05,Manhattan,LEESEL TRANSP CORP (B2192,20,0,Yes,Yes,No,5/9/16 14:05,,5/9/16 14:05,Running Late,School-Age,3149,3149,P.S./M.S. 149 Sojourner Truth School,Public,School,41 WEST 117TH STREET,Manhattan,NY,10026,-73.947773,40.802201,Yes,Yes,Yes,No,Yes,No,No,1297238
2016-2017,1297105,Special Ed AM Run,2617,M620,Other,3325,4,3325,,,5/10/16 6:24,5/10/16 6:26,Queens,BOBBY`S BUS CO. INC.,45,0,No,No,No,5/10/16 6:26,,5/10/16 6:26,Running Late,School-Age,3325,3325,Wadleigh High School for the Visual and Performing Arts,Public,School,215 WEST 114 STREET,Manhattan,NY,10026,-73.954189,40.802313,Yes,Yes,Yes,No,No,No,No,1297105
